"engine","noise","mean_word_error","preprocess_tokens","postprocess_terms","postprocess_tokens","rf_accuracy","svm_accuracy","nb_accuracy","ner_retrieval","ner_f1"
"dai","bin",1.31996894409938,77540,3803,28689,0.963419913419913,0.745179413179413,0.141739001654333,0.794140564126539,0.787574376014218
"dai","col + blur",3.77149068322981,77304,3799,28382,0.958874458874459,0.788435897435897,0.122215915282277,0.731338631759389,0.736561249313348
"dai","col + weak",2.25350931677019,77653,3807,28541,0.963419913419913,0.761813743422439,0.128083816260018,0.748324762350008,0.745073700543057
"dai","col + snp",1.32978260869565,77582,3799,28691,0.963419913419913,0.746937229437229,0.140977096892429,0.788530465949821,0.783342363960059
"dai","col + wm",1.84574534161491,77566,3804,28737,0.963419913419913,0.537646759038063,0.136739001654333,0.791958859280037,0.786200495049505
"dai","col + scrib",2.6495652173913,77060,3797,28619,0.954112554112554,0.788940967245315,0.163701546356009,0.773881876266168,0.766712984406361
"dai","col + ink",13.6983540372671,69294,3708,26152,0.958874458874459,0.696250857837814,0.105823887782698,0.684120305438679,0.707265990011278
"dai","bin + blur",51.6769875776397,41438,2556,14449,0.752597402597403,0.250224674681196,0.119735990173061,0.241857565840736,0.349431498367669
"dai","bin + weak",1.39232919254658,77534,3797,28651,0.958874458874459,0.742970395144308,0.136977096892429,0.792426367461431,0.786360473208072
"dai","bin + snp",1.5939751552795,77631,3802,28730,0.958874458874459,0.682086022672979,0.141739001654333,0.792270531400966,0.786023500309215
"dai","bin + wm",2.81885093167702,77185,3799,28661,0.963419913419913,0.658935971435971,0.123083816260018,0.786348761103319,0.780872794800371
"dai","bin + scrib",2.4083850931677,77138,3812,28663,0.963419913419913,0.791921485921486,0.138369530545732,0.77325853202431,0.768468328945331
"dai","bin + ink",12.6650310559006,69535,3693,26344,0.958874458874459,0.718431765496983,0.141240977938918,0.684743649680536,0.706090310139804
"dai","col + blur + weak",6.42888198757764,76073,3789,27996,0.958874458874459,0.678105807236242,0.132479073177014,0.710612435717625,0.722605181839791
"dai","col + blur + snp",40.3245031055901,48912,2872,17771,0.858225108225108,0.22654708415578,0.119735990173061,0.254947794919744,0.362428001772264
"dai","col + blur + wm",8.14270186335404,76301,3851,27966,0.963419913419913,0.491839464882943,0.10986808919532,0.68240610877357,0.690367334069052
"dai","col + blur + scrib",7.86863354037267,74927,3776,27765,0.963419913419913,0.786835968379447,0.150522551437883,0.678354371201496,0.687895069532238
"dai","col + blur + ink",16.0394409937888,68631,3721,25887,0.963419913419913,0.63802548900375,0.124281444718516,0.62240922549478,0.655775387899187
"dai","col + weak + snp",5.09723602484472,77287,3828,28228,0.963419913419913,0.745980410893454,0.123845721021922,0.627240143369176,0.634657836644592
"dai","col + weak + wm",2.9972049689441,77397,3827,28540,0.963419913419913,0.778880938707026,0.121648409561453,0.744273024777934,0.742075823492853
"dai","col + weak + scrib",4.57487577639752,76686,3819,28390,0.958658008658009,0.788202358832794,0.135648409561453,0.713417484805984,0.713084112149533
"dai","col + weak + ink",14.8451242236025,68893,3722,25977,0.954329004329004,0.673596837944664,0.118388164086105,0.630824372759857,0.658050881898724
"dai","col + snp + wm",1.80074534161491,77539,3803,28678,0.958874458874459,0.739431235431235,0.135607219630103,0.778712794140564,0.775149305824866
"dai","col + snp + scrib",3.03593167701863,76940,3819,28650,0.958874458874459,0.781720744633788,0.126713938997692,0.755649057191834,0.749343223613043
"dai","col + snp + ink",13.222950310559,69356,3700,26326,0.963419913419913,0.760424242424242,0.13717544850268,0.66962755181549,0.693903916027452
"dai","col + wm + scrib",4.11950310559006,76776,3827,28794,0.954112554112554,0.838009953814302,0.130713938997692,0.760168302945302,0.757277031747264
"dai","col + wm + ink",18.7615217391304,64959,3629,25100,0.963419913419913,0.695994462059679,0.123845721021922,0.632382733364501,0.675151817652442
"dai","col + scrib + ink",19.1617391304348,65144,3655,25337,0.954112554112554,0.773203296703297,0.119388164086105,0.613059061866916,0.650624328123708
"dai","bin + blur + weak",55.9779192546584,39046,2383,13180,0.752813852813853,0.29345337995338,0.119735990173061,0.21645628798504,0.317268158976702
"dai","bin + blur + snp",59.5810248447205,37246,2307,12378,0.72965367965368,0.201719114219114,0.119735990173061,0.208352812840891,0.310316815597076
"dai","bin + blur + wm",52.7726397515528,40790,2557,14415,0.78008658008658,0.24407142776708,0.119735990173061,0.234533270998909,0.340151429540061
"dai","bin + blur + scrib",54.042049689441,40270,2546,14279,0.922077922077922,0.328982048547266,0.119735990173061,0.223157238585009,0.321978639685216
"dai","bin + blur + ink",57.9729192546584,36674,2405,13041,0.762121212121212,0.271012589664764,0.119735990173061,0.205236091631604,0.304016620498615
"dai","bin + weak + snp",1.90313664596273,77604,3810,28696,0.963419913419913,0.788333333333333,0.136977096892429,0.781673679289388,0.777493606138107
"dai","bin + weak + wm",2.66319875776398,76886,3787,28510,0.963419913419913,0.790839382839383,0.12804334948042,0.777777777777778,0.77686979531481
"dai","bin + weak + scrib",2.64829192546584,77044,3800,28598,0.963203463203463,0.819165407056711,0.140369124392008,0.767492597787128,0.763921203660617
"dai","bin + weak + ink",13.6503416149068,69013,3691,26110,0.963419913419913,0.701868981260286,0.141040120063003,0.676951846657317,0.70234438156831
"dai","bin + snp + wm",1.71754658385093,77426,3804,28694,0.963419913419913,0.657552954292085,0.141174725350927,0.786972105345177,0.782218091697646
"dai","bin + snp + scrib",2.50496894409938,77108,3815,28712,0.972510822510823,0.817229105837802,0.128845721021922,0.772011843540595,0.761919409412488
"dai","bin + snp + ink",13.3877950310559,69256,3720,26350,0.967965367965368,0.773487724031202,0.141569982267923,0.673679289387564,0.698949070331447
"dai","bin + wm + scrib",3.30770186335404,76743,3821,28809,0.967965367965368,0.817976911976912,0.154613460528792,0.762505843852267,0.759193173002327
"dai","bin + wm + ink",18.5092236024845,64636,3637,25141,0.963419913419913,0.687459301567997,0.137607625783827,0.617266635499455,0.657154707590212
"dai","bin + scrib + ink",18.3601863354037,65716,3661,25436,0.958658008658009,0.790957853740462,0.14987037752484,0.612591553685523,0.652990033222591
