"K","exclus","semcoh","heldout","residual","bound","lbound","em.its","engine","noise","mean_word_error","uniq","highest_heldout_k"
19,9.57244671548993,-83.3718998953068,-7.89340937321738,1.66313150852617,-202480.178229561,-202440.838345374,119,"tesseract","col + ink",16.0731055900621,"tesseract col + ink",7
20,9.58836614667064,-86.3597015691345,-7.87088493294716,1.68843367031427,-202996.563992942,-202954.228376481,118,"tesseract","col + ink",16.0731055900621,"tesseract col + ink",7
6,9.23476543844495,-72.7787692262503,-7.39528602217711,1.60036901843605,-159719.883259067,-159713.304007855,331,"tesseract","bin + blur",61.8110559006211,"tesseract bin + blur",6
7,9.36383614928432,-73.0275300571617,-7.56457210742747,1.49316583031895,-158346.77344819,-158338.248286829,310,"tesseract","bin + blur",61.8110559006211,"tesseract bin + blur",6
8,9.35913736305848,-72.841393417911,-7.49963759020392,1.55190818377833,-156948.303194507,-156937.698591604,291,"tesseract","bin + blur",61.8110559006211,"tesseract bin + blur",6
9,9.32060497088097,-72.9635777157267,-7.66682186899825,1.52888887085183,-156404.563331828,-156391.761504347,277,"tesseract","bin + blur",61.8110559006211,"tesseract bin + blur",6
10,9.40215970847322,-74.5280144268174,-7.53698056584515,1.54992718738059,-155139.604429616,-155124.500017043,250,"tesseract","bin + blur",61.8110559006211,"tesseract bin + blur",6
11,9.43038102884327,-71.4808000665417,-7.70947814928935,1.59080410353446,-153437.977670998,-153420.475363152,155,"tesseract","bin + blur",61.8110559006211,"tesseract bin + blur",6
12,9.29982359796671,-78.9789846160683,-8.04762616508592,1.59923921258137,-153810.97023352,-153790.983019024,138,"tesseract","bin + blur",61.8110559006211,"tesseract bin + blur",6
13,9.3776893736701,-85.3235508863297,-7.98826338542703,1.61932284866182,-153449.331229157,-153426.779065304,86,"tesseract","bin + blur",61.8110559006211,"tesseract bin + blur",6
14,9.33701922227316,-81.7804361845997,-7.95117998673076,1.63262907864971,-152195.387709871,-152170.196488688,111,"tesseract","bin + blur",61.8110559006211,"tesseract bin + blur",6
15,9.37815859693761,-84.9123969297242,-7.93989793091238,1.68787616112698,-151693.823510508,-151665.924239125,93,"tesseract","bin + blur",61.8110559006211,"tesseract bin + blur",6
16,9.43246636984934,-85.4890802607893,-8.01394475984666,1.68902591701012,-151348.665113617,-151317.993253511,176,"tesseract","bin + blur",61.8110559006211,"tesseract bin + blur",6
17,9.41584590825517,-97.6265250973028,-8.09512642270009,1.84416843267841,-151125.442598325,-151091.937524875,99,"tesseract","bin + blur",61.8110559006211,"tesseract bin + blur",6
18,9.43751958554762,-100.356357460822,-8.23391117511769,1.86831862985506,-150343.880547867,-150307.485102659,92,"tesseract","bin + blur",61.8110559006211,"tesseract bin + blur",6
19,9.47571244197716,-103.783280030687,-8.3352546443098,1.93187431889129,-150303.022801148,-150263.68291696,82,"tesseract","bin + blur",61.8110559006211,"tesseract bin + blur",6
20,9.4576905735007,-99.0263491860276,-8.25489963267434,1.94210474608765,-150020.318889147,-149977.983272687,75,"tesseract","bin + blur",61.8110559006211,"tesseract bin + blur",6
6,9.18523076509181,-92.3187605409288,-7.67715141844655,1.52236061261114,-253040.379909469,-253033.800658257,118,"tesseract","bin + weak",2.88198757763975,"tesseract bin + weak",8
7,9.18031539791333,-66.9049689892477,-7.80036483573181,1.51909834131975,-247165.238826307,-247156.713664946,116,"tesseract","bin + weak",2.88198757763975,"tesseract bin + weak",8
